index	breadcrumb	title_zh	title_en	reference_doc_url	pillar	diataxis	status	qchem_module	milestone	is_class_leaf	mirror_site_path
25	manual/protocols/statevector	态向量 Protocol	Statevector protocols	https://docs.quantinuum.com/inquanto/manual/protocols/statevector.html	P2	concept	partial	qchem_stack.protocols		0	/mirror/manual/protocols/statevector/
26	manual/protocols/averaging	平均（Pauli）Protocol	Averaging protocols	https://docs.quantinuum.com/inquanto/manual/protocols/expval.html	P2	concept	shipped	qchem_stack.protocols.PauliAveragingProtocol		0	/mirror/manual/protocols/averaging/
27	manual/protocols/overlap	重叠 / 投影 Protocol	Overlap protocols	https://docs.quantinuum.com/inquanto/manual/protocols/overlap.html	P2	concept	placeholder		Q3 2026	0	/mirror/manual/protocols/overlap/
28	manual/protocols/derivatives	导数 Protocol	Derivative protocols	https://docs.quantinuum.com/inquanto/manual/protocols/derivative.html	P2	concept	placeholder		Q3 2026	0	/mirror/manual/protocols/derivatives/
29	manual/protocols/phase_estimation	量子相位估计 Protocol	Quantum phase estimation protocols	https://docs.quantinuum.com/inquanto/manual/protocols/qpe.html	P2	concept	placeholder	qchem_stack.qpe_qec_demo	Q4 2026	0	/mirror/manual/protocols/phase_estimation/
30	manual/protocols/resource_estimation	资源估计	Resource estimation	https://docs.quantinuum.com/inquanto/manual/protocols/resource_estimation.html	P2	concept	shipped	qchem_stack.protocols.PauliAveragingProtocol.dataframe_circuit_shot		0	/mirror/manual/protocols/resource_estimation/
31	manual/algorithms	Algorithms 概览	Algorithms overview	https://docs.quantinuum.com/inquanto/manual/algorithms_overview.html	P2	concept	partial	qchem_stack.quantum.algorithms		0	/mirror/manual/algorithms/
32	manual/algorithms/vqe	VQE	VQE	https://docs.quantinuum.com/inquanto/manual/algorithms/algorithms_vqe.html	P2	concept	shipped	qchem_stack.quantum.algorithms.vqe		0	/mirror/manual/algorithms/vqe/
33	manual/algorithms/adapt	ADAPT-VQE 家族	ADAPT-VQE family	https://docs.quantinuum.com/inquanto/manual/algorithms/algorithms_adapt.html	P2	concept	partial	qchem_stack.quantum.algorithms.adapt		0	/mirror/manual/algorithms/adapt/
34	manual/algorithms/excited	激发态（VQD / QSE / SCEOM）	Excited states (VQD / QSE / SCEOM)	https://docs.quantinuum.com/inquanto/manual/algorithms/algorithms_excited.html	P2	concept	partial	qchem_stack.quantum.algorithms.excited		0	/mirror/manual/algorithms/excited/
35	manual/algorithms/qpe	量子相位估计算法	Quantum phase estimation algorithms	https://docs.quantinuum.com/inquanto/manual/algorithms/algorithms_qpe.html	P2	concept	placeholder	qchem_stack.qpe_qec_demo	Q4 2026	0	/mirror/manual/algorithms/qpe/
36	manual/algorithms/time_evolution	时间演化（VQS / McLachlan）	Time evolution (VQS / McLachlan)	https://docs.quantinuum.com/inquanto/manual/algorithms/te_vqs.html	P2	concept	placeholder		2027	0	/mirror/manual/algorithms/time_evolution/
37	manual/embedding	嵌入与 DMET	Embeddings and DMET	https://docs.quantinuum.com/inquanto/manual/dmet.html	P1	concept	partial	qchem_stack.chem.embedding		0	/mirror/manual/embedding/
38	manual/embedding/dmet_intro	DMET 概览	DMET overview	https://docs.quantinuum.com/inquanto/manual/dmet.html	P1	concept	partial	qchem_stack.chem.embedding.dmet		0	/mirror/manual/embedding/dmet_intro/
39	manual/embedding/projection_embedding	投影嵌入	Projection embedding	https://docs.quantinuum.com/inquanto/manual/projection_embedding.html	P1	concept	partial	qchem_stack.chem.embedding.projection		0	/mirror/manual/embedding/projection_embedding/
40	manual/embedding/nevpt2_ac0	NEVPT2 / AC0 校正	NEVPT2 / AC0 corrections	https://docs.quantinuum.com/inquanto/manual/nevpt2.html	P1	concept	placeholder		2027	0	/mirror/manual/embedding/nevpt2_ac0/
41	manual/noise_mitigation	噪声缓解	Noise mitigation	https://docs.quantinuum.com/inquanto/manual/errmit.html	P3	concept	partial	qchem_stack.mitigation		0	/mirror/manual/noise_mitigation/
42	manual/noise_mitigation/qermit	Qermit MitRes / MitEx 集成	Qermit MitRes / MitEx integration	https://docs.quantinuum.com/inquanto/manual/errmit.html#using-qermit	P3	concept	partial	qchem_stack.mitigation.qermit_analog		0	/mirror/manual/noise_mitigation/qermit/
43	manual/noise_mitigation/pmsv_spam	PMSV 与 SPAM	PMSV and SPAM	https://docs.quantinuum.com/inquanto/manual/errmit.html#using-inquanto-s-pmsv-and-spam	P3	concept	shipped	qchem_stack.mitigation		0	/mirror/manual/noise_mitigation/pmsv_spam/
44	tutorials	教程	Tutorials	https://docs.quantinuum.com/inquanto/tutorials/tutorial_overview.html	meta	tutorial	partial			0	/mirror/tutorials/
45	tutorials/core	核心教程	Core tutorials	https://docs.quantinuum.com/inquanto/tutorials/tutorial_overview.html#core-tutorials	P2	tutorial	partial			0	/mirror/tutorials/core/
46	tutorials/core/basic_vqe	基础 VQE	A basic VQE simulation	https://docs.quantinuum.com/inquanto/tutorials/InQ_tut_VQE.html	P2	tutorial	shipped	qchem_stack.express		0	/mirror/tutorials/core/basic_vqe/
47	tutorials/core/extended_vqe	扩展 VQE	Extended VQE	https://docs.quantinuum.com/inquanto/tutorials/InQ_tut_VQE_extended.html	P2	tutorial	partial			0	/mirror/tutorials/core/extended_vqe/
48	tutorials/core/vqd	激发态 VQD	Variational quantum deflation for excited states	https://docs.quantinuum.com/inquanto/tutorials/InQ_tut_VQD.html	P2	tutorial	partial	qchem_stack.quantum.algorithms.excited		0	/mirror/tutorials/core/vqd/
49	tutorials/core/nglview	nglview 可视化	Visualization with NGLView (reference)	https://docs.quantinuum.com/inquanto/tutorials/InQ_tut_nglview.html	P2	tutorial	not-applicable			0	/mirror/tutorials/core/nglview/
50	tutorials/backends	后端教程	Backend tutorials	https://docs.quantinuum.com/inquanto/tutorials/tutorial_overview.html#backend-tutorials	P3	tutorial	partial			0	/mirror/tutorials/backends/
51	tutorials/backends/backends_setup	后端搭建	Setting up and accessing backends	https://docs.quantinuum.com/inquanto/tutorials/InQ_tut_backends.html	P3	tutorial	shipped	qchem_stack.backends		0	/mirror/tutorials/backends/backends_setup/
52	tutorials/backends/nexus_intro	Nexus 后端管理	Accessing and managing backends with Nexus	https://docs.quantinuum.com/inquanto/tutorials/InQ_tut_nexus.html	P3	tutorial	not-applicable	qchem_stack.api		0	/mirror/tutorials/backends/nexus_intro/
53	tutorials/backends/helios_selene	Helios / Selene 后端提交（参考教程）	Helios / Selene backend submission (reference tutorial)	https://docs.quantinuum.com/inquanto/tutorials/InQ_tut_helios.html	P3	tutorial	not-applicable			0	/mirror/tutorials/backends/helios_selene/
54	tutorials/backends/aer_shots	Aer 采样（shots）	Hamiltonian averaging with the Aer simulator (shots)	https://docs.quantinuum.com/inquanto/tutorials/InQ_tut_qiskit_shots.html	P3	tutorial	shipped	qchem_stack.backends.qiskit_pauli_shots		0	/mirror/tutorials/backends/aer_shots/
55	tutorials/backends/circuit_compilation	电路编译流水线	Circuit compilation in protocols workflow	https://docs.quantinuum.com/inquanto/tutorials/InQ_tut_compilation.html	P3	tutorial	partial	qchem_stack.backends.compile_passes		0	/mirror/tutorials/backends/circuit_compilation/
56	tutorials/backends/async	异步实验	Running asynchronous experiments	https://docs.quantinuum.com/inquanto/tutorials/InQ_tut_async.html	P3	tutorial	partial	qchem_stack.jobs.store		0	/mirror/tutorials/backends/async/
57	tutorials/backends/qse_quantinuum	QSE 硬件后端教程（参考）	QSE on hardware backends (reference tutorial)	https://docs.quantinuum.com/inquanto/tutorials/InQ_tut_qse.html	P3	tutorial	partial			0	/mirror/tutorials/backends/qse_quantinuum/
58	tutorials/case_study_fe4n2	Fe4N2 案例研究	Fe4N2 case study	https://docs.quantinuum.com/inquanto/tutorials/tutorial_overview.html#case-study-tutorials-fe4n2	P1	tutorial	placeholder		2027	0	/mirror/tutorials/case_study_fe4n2/
59	tutorials/case_study_fe4n2/fe4n2_avas_casscf	Fe4N2：AVAS + CASSCF	Fe4N2 — AVAS + CASSCF	https://docs.quantinuum.com/inquanto/tutorials/InQ_tut_fe4n2_1.html	P1	tutorial	placeholder			0	/mirror/tutorials/case_study_fe4n2/fe4n2_avas_casscf/
60	tutorials/case_study_fe4n2/fe4n2_adapt	Fe4N2：ADAPT 构造高效线路	Fe4N2 — ADAPT efficient circuits	https://docs.quantinuum.com/inquanto/tutorials/InQ_tut_fe4n2_2.html	P1	tutorial	placeholder			0	/mirror/tutorials/case_study_fe4n2/fe4n2_adapt/
61	tutorials/case_study_fe4n2/fe4n2_hardware	Fe4N2：噪声硬件评估	Fe4N2 — running on noisy hardware	https://docs.quantinuum.com/inquanto/tutorials/InQ_tut_fe4n2_3.html	P1	tutorial	not-applicable			0	/mirror/tutorials/case_study_fe4n2/fe4n2_hardware/
62	tutorials/fragmentation	碎片化教程	Fragmentation tutorials	https://docs.quantinuum.com/inquanto/tutorials/tutorial_overview.html#fragmentation-tutorials	P1	tutorial	partial			0	/mirror/tutorials/fragmentation/
63	tutorials/fragmentation/dmet_basic	大体系 DMET 入门	Tackling larger systems with fragmentation	https://docs.quantinuum.com/inquanto/tutorials/InQ_tut_dmet.html	P1	tutorial	partial	qchem_stack.chem.embedding.dmet		0	/mirror/tutorials/fragmentation/dmet_basic/
64	tutorials/fragmentation/projection_embedding	投影嵌入	Projection-based embedding	https://docs.quantinuum.com/inquanto/tutorials/InQ_tut_projection.html	P1	tutorial	partial	qchem_stack.chem.embedding.projection		0	/mirror/tutorials/fragmentation/projection_embedding/
65	tutorials/fragmentation/nevpt2_ac0	NEVPT2 + AC0 校正	NEVPT2 + AC0 corrections	https://docs.quantinuum.com/inquanto/tutorials/InQ_tut_nevpt2_AC0.html	P1	tutorial	placeholder		2027	0	/mirror/tutorials/fragmentation/nevpt2_ac0/
66	tutorials/fragmentation/wft_dft	WFT-in-DFT + NEVPT2 / AC0	WFT-in-DFT + NEVPT2 or AC0	https://docs.quantinuum.com/inquanto/tutorials/InQ_tut_wft_dft_2.html	P1	tutorial	placeholder		2027	0	/mirror/tutorials/fragmentation/wft_dft/
67	extensions	扩展	Extensions	https://docs.quantinuum.com/inquanto/extensions/extensions-overview.html	meta	reference	partial			0	/mirror/extensions/
68	extensions/inquanto_pyscf	PySCF 扩展（参考文档）	PySCF extension (reference)	https://docs.quantinuum.com/inquanto/extensions/inquanto-pyscf.html	P1	reference	partial	qchem_stack.chem.drivers.pyscf_driver		0	/mirror/extensions/inquanto_pyscf/
69	extensions/inquanto_nexus	Nexus 集成（参考文档）	Nexus integration (reference)	https://docs.quantinuum.com/inquanto/extensions/inquanto-nexus.html	P4	reference	not-applicable	qchem_stack.api		0	/mirror/extensions/inquanto_nexus/
70	extensions/inquanto_nglview	NGLView 可视化（参考文档）	NGLView visualization (reference)	https://docs.quantinuum.com/inquanto/extensions/inquanto-nglview.html	P1	reference	not-applicable			0	/mirror/extensions/inquanto_nglview/
71	extensions/inquanto_phayes	Phayes 扩展（参考文档）	Phayes extension (reference)	https://docs.quantinuum.com/inquanto/extensions/inquanto-phayes.html	P2	reference	placeholder	qchem_stack.qpe_qec_demo.bayesian_stub	2027	0	/mirror/extensions/inquanto_phayes/
72	extensions/inquanto_cutensornet	cuTensorNet 扩展（参考文档）	cuTensorNet extension (reference)	https://docs.quantinuum.com/inquanto/api/extensions/inquanto-cutensornet_api.html	P3	reference	partial	qchem_stack.tensornet		0	/mirror/extensions/inquanto_cutensornet/
73	api	API 参考	API reference	https://docs.quantinuum.com/inquanto/api/inquanto/	meta	reference	partial			0	/mirror/api/
74	api/api_intro_inquanto	参考文档 · API 总览	Reference documentation · API overview	https://docs.quantinuum.com/inquanto/api/inquanto_api_intro.html	meta	reference	shipped			0	/mirror/api/api_intro_inquanto/
75	api/api_intro_extensions	参考文档 · 扩展 API 总览	Reference documentation · Extensions API overview	https://docs.quantinuum.com/inquanto/api/inquanto-ext_api_intro.html	meta	reference	shipped			0	/mirror/api/api_intro_extensions/
76	api/algorithms	参考 API · inquanto.algorithms	Reference API · inquanto.algorithms	https://docs.quantinuum.com/inquanto/api/inquanto/algorithms.html	P2	reference	partial	qchem_stack.quantum.algorithms		0	/mirror/api/algorithms/
77	api/algorithms/classes/AlgorithmVQE	AlgorithmVQE	AlgorithmVQE	https://docs.quantinuum.com/inquanto/api/inquanto/algorithms.html#inquanto.algorithms.AlgorithmVQE	P2	reference	shipped	qchem_stack.quantum.algorithms.vqe		1	/mirror/api/algorithms/classes/AlgorithmVQE/
78	api/algorithms/classes/AlgorithmAdaptVQE	AlgorithmAdaptVQE	AlgorithmAdaptVQE	https://docs.quantinuum.com/inquanto/api/inquanto/algorithms.html#inquanto.algorithms.AlgorithmAdaptVQE	P2	reference	partial	qchem_stack.quantum.algorithms.adapt		1	/mirror/api/algorithms/classes/AlgorithmAdaptVQE/
79	api/algorithms/classes/AlgorithmFermionicAdaptVQE	AlgorithmFermionicAdaptVQE	AlgorithmFermionicAdaptVQE	https://docs.quantinuum.com/inquanto/api/inquanto/algorithms.html#inquanto.algorithms.AlgorithmFermionicAdaptVQE	P2	reference	partial	qchem_stack.quantum.algorithms.adapt		1	/mirror/api/algorithms/classes/AlgorithmFermionicAdaptVQE/
80	api/algorithms/classes/AlgorithmIQEB	AlgorithmIQEB	AlgorithmIQEB	https://docs.quantinuum.com/inquanto/api/inquanto/algorithms.html#inquanto.algorithms.AlgorithmIQEB	P2	reference	partial	qchem_stack.quantum.algorithms.iqeb		1	/mirror/api/algorithms/classes/AlgorithmIQEB/
81	api/algorithms/classes/AlgorithmVQD	AlgorithmVQD	AlgorithmVQD	https://docs.quantinuum.com/inquanto/api/inquanto/algorithms.html#inquanto.algorithms.AlgorithmVQD	P2	reference	partial	qchem_stack.quantum.algorithms.excited		1	/mirror/api/algorithms/classes/AlgorithmVQD/
82	api/algorithms/classes/AlgorithmQSE	AlgorithmQSE	AlgorithmQSE	https://docs.quantinuum.com/inquanto/api/inquanto/algorithms.html#inquanto.algorithms.AlgorithmQSE	P2	reference	partial	qchem_stack.quantum.qse_transition		1	/mirror/api/algorithms/classes/AlgorithmQSE/
83	api/algorithms/classes/AlgorithmSCEOM	AlgorithmSCEOM	AlgorithmSCEOM	https://docs.quantinuum.com/inquanto/api/inquanto/algorithms.html#inquanto.algorithms.AlgorithmSCEOM	P2	reference	partial	qchem_stack.quantum.algorithms.sceom		1	/mirror/api/algorithms/classes/AlgorithmSCEOM/
84	api/algorithms/classes/AlgorithmDeterministicQPE	AlgorithmDeterministicQPE	AlgorithmDeterministicQPE	https://docs.quantinuum.com/inquanto/api/inquanto/algorithms.html#inquanto.algorithms.AlgorithmDeterministicQPE	P2	reference	placeholder		Q4 2026	1	/mirror/api/algorithms/classes/AlgorithmDeterministicQPE/
85	api/algorithms/classes/AlgorithmInfoTheoryQPE	AlgorithmInfoTheoryQPE	AlgorithmInfoTheoryQPE	https://docs.quantinuum.com/inquanto/api/inquanto/algorithms.html#inquanto.algorithms.AlgorithmInfoTheoryQPE	P2	reference	placeholder		Q4 2026	1	/mirror/api/algorithms/classes/AlgorithmInfoTheoryQPE/
86	api/algorithms/classes/AlgorithmKitaevQPE	AlgorithmKitaevQPE	AlgorithmKitaevQPE	https://docs.quantinuum.com/inquanto/api/inquanto/algorithms.html#inquanto.algorithms.AlgorithmKitaevQPE	P2	reference	placeholder		Q4 2026	1	/mirror/api/algorithms/classes/AlgorithmKitaevQPE/
87	api/algorithms/classes/AlgorithmVQS	AlgorithmVQS	AlgorithmVQS	https://docs.quantinuum.com/inquanto/api/inquanto/algorithms.html#inquanto.algorithms.AlgorithmVQS	P2	reference	placeholder		2027	1	/mirror/api/algorithms/classes/AlgorithmVQS/
88	api/algorithms/classes/AlgorithmMcLachlanRealTime	AlgorithmMcLachlanRealTime	AlgorithmMcLachlanRealTime	https://docs.quantinuum.com/inquanto/api/inquanto/algorithms.html#inquanto.algorithms.AlgorithmMcLachlanRealTime	P2	reference	placeholder		2027	1	/mirror/api/algorithms/classes/AlgorithmMcLachlanRealTime/
89	api/algorithms/classes/AlgorithmMcLachlanImagTime	AlgorithmMcLachlanImagTime	AlgorithmMcLachlanImagTime	https://docs.quantinuum.com/inquanto/api/inquanto/algorithms.html#inquanto.algorithms.AlgorithmMcLachlanImagTime	P2	reference	placeholder		2027	1	/mirror/api/algorithms/classes/AlgorithmMcLachlanImagTime/
90	api/ansatz	参考 API · inquanto.ansatzes	Reference API · inquanto.ansatzes	https://docs.quantinuum.com/inquanto/api/inquanto/ansatz.html	P2	reference	partial	qchem_stack.quantum.ansatze		0	/mirror/api/ansatz/
91	api/ansatz/classes/GeneralAnsatz	GeneralAnsatz	GeneralAnsatz	https://docs.quantinuum.com/inquanto/api/inquanto/ansatz.html#inquanto.ansatz.GeneralAnsatz	P2	reference	partial			1	/mirror/api/ansatz/classes/GeneralAnsatz/
92	api/ansatz/classes/CircuitAnsatz	CircuitAnsatz	CircuitAnsatz	https://docs.quantinuum.com/inquanto/api/inquanto/ansatz.html#inquanto.ansatz.CircuitAnsatz	P2	reference	partial			1	/mirror/api/ansatz/classes/CircuitAnsatz/
93	api/ansatz/classes/ComposedAnsatz	ComposedAnsatz	ComposedAnsatz	https://docs.quantinuum.com/inquanto/api/inquanto/ansatz.html#inquanto.ansatz.ComposedAnsatz	P2	reference	placeholder			1	/mirror/api/ansatz/classes/ComposedAnsatz/
94	api/ansatz/classes/TrotterAnsatz	TrotterAnsatz	TrotterAnsatz	https://docs.quantinuum.com/inquanto/api/inquanto/ansatz.html#inquanto.ansatz.TrotterAnsatz	P2	reference	partial			1	/mirror/api/ansatz/classes/TrotterAnsatz/
95	api/ansatz/classes/FermionSpaceStateExp	FermionSpaceStateExp	FermionSpaceStateExp	https://docs.quantinuum.com/inquanto/api/inquanto/ansatz.html#inquanto.ansatz.FermionSpaceStateExp	P2	reference	partial			1	/mirror/api/ansatz/classes/FermionSpaceStateExp/
96	api/ansatz/classes/FermionSpaceAnsatzUCCSD	FermionSpaceAnsatzUCCSD	FermionSpaceAnsatzUCCSD	https://docs.quantinuum.com/inquanto/api/inquanto/ansatz.html#inquanto.ansatz.FermionSpaceAnsatzUCCSD	P2	reference	partial			1	/mirror/api/ansatz/classes/FermionSpaceAnsatzUCCSD/
97	api/ansatz/classes/FermionSpaceAnsatzUCCD	FermionSpaceAnsatzUCCD	FermionSpaceAnsatzUCCD	https://docs.quantinuum.com/inquanto/api/inquanto/ansatz.html#inquanto.ansatz.FermionSpaceAnsatzUCCD	P2	reference	placeholder			1	/mirror/api/ansatz/classes/FermionSpaceAnsatzUCCD/
98	api/ansatz/classes/FermionSpaceStateExpChemicallyAware	FermionSpaceStateExpChemicallyAware	FermionSpaceStateExpChemicallyAware	https://docs.quantinuum.com/inquanto/api/inquanto/ansatz.html#inquanto.ansatz.FermionSpaceStateExpChemicallyAware	P2	reference	placeholder			1	/mirror/api/ansatz/classes/FermionSpaceStateExpChemicallyAware/
99	api/ansatz/classes/FermionSpaceAnsatzChemicallyAwareUCCSD	FermionSpaceAnsatzChemicallyAwareUCCSD	FermionSpaceAnsatzChemicallyAwareUCCSD	https://docs.quantinuum.com/inquanto/api/inquanto/ansatz.html#inquanto.ansatz.FermionSpaceAnsatzChemicallyAwareUCCSD	P2	reference	placeholder			1	/mirror/api/ansatz/classes/FermionSpaceAnsatzChemicallyAwareUCCSD/
100	api/ansatz/classes/FermionSpaceAnsatzkUpCCGD	FermionSpaceAnsatzkUpCCGD	FermionSpaceAnsatzkUpCCGD	https://docs.quantinuum.com/inquanto/api/inquanto/ansatz.html#inquanto.ansatz.FermionSpaceAnsatzkUpCCGD	P2	reference	placeholder			1	/mirror/api/ansatz/classes/FermionSpaceAnsatzkUpCCGD/
101	api/ansatz/classes/FermionSpaceAnsatzkUpCCGSD	FermionSpaceAnsatzkUpCCGSD	FermionSpaceAnsatzkUpCCGSD	https://docs.quantinuum.com/inquanto/api/inquanto/ansatz.html#inquanto.ansatz.FermionSpaceAnsatzkUpCCGSD	P2	reference	placeholder			1	/mirror/api/ansatz/classes/FermionSpaceAnsatzkUpCCGSD/
102	api/ansatz/classes/FermionSpaceAnsatzkUpCCGSDSinglet	FermionSpaceAnsatzkUpCCGSDSinglet	FermionSpaceAnsatzkUpCCGSDSinglet	https://docs.quantinuum.com/inquanto/api/inquanto/ansatz.html#inquanto.ansatz.FermionSpaceAnsatzkUpCCGSDSinglet	P2	reference	placeholder			1	/mirror/api/ansatz/classes/FermionSpaceAnsatzkUpCCGSDSinglet/
103	api/ansatz/classes/FermionSpaceAnsatzUCCGD	FermionSpaceAnsatzUCCGD	FermionSpaceAnsatzUCCGD	https://docs.quantinuum.com/inquanto/api/inquanto/ansatz.html#inquanto.ansatz.FermionSpaceAnsatzUCCGD	P2	reference	placeholder			1	/mirror/api/ansatz/classes/FermionSpaceAnsatzUCCGD/
104	api/ansatz/classes/FermionSpaceAnsatzUCCGSD	FermionSpaceAnsatzUCCGSD	FermionSpaceAnsatzUCCGSD	https://docs.quantinuum.com/inquanto/api/inquanto/ansatz.html#inquanto.ansatz.FermionSpaceAnsatzUCCGSD	P2	reference	placeholder			1	/mirror/api/ansatz/classes/FermionSpaceAnsatzUCCGSD/
105	api/ansatz/classes/FermionSpaceAnsatzUCCSDSinglet	FermionSpaceAnsatzUCCSDSinglet	FermionSpaceAnsatzUCCSDSinglet	https://docs.quantinuum.com/inquanto/api/inquanto/ansatz.html#inquanto.ansatz.FermionSpaceAnsatzUCCSDSinglet	P2	reference	placeholder			1	/mirror/api/ansatz/classes/FermionSpaceAnsatzUCCSDSinglet/
106	api/ansatz/classes/FermionSpaceAnsatzsUPS	FermionSpaceAnsatzsUPS	FermionSpaceAnsatzsUPS	https://docs.quantinuum.com/inquanto/api/inquanto/ansatz.html#inquanto.ansatz.FermionSpaceAnsatzsUPS	P2	reference	placeholder			1	/mirror/api/ansatz/classes/FermionSpaceAnsatzsUPS/
107	api/ansatz/classes/FermionSpaceAnsatztUPS	FermionSpaceAnsatztUPS	FermionSpaceAnsatztUPS	https://docs.quantinuum.com/inquanto/api/inquanto/ansatz.html#inquanto.ansatz.FermionSpaceAnsatztUPS	P2	reference	placeholder			1	/mirror/api/ansatz/classes/FermionSpaceAnsatztUPS/
108	api/ansatz/classes/MultiConfigurationAnsatz	MultiConfigurationAnsatz	MultiConfigurationAnsatz	https://docs.quantinuum.com/inquanto/api/inquanto/ansatz.html#inquanto.ansatz.MultiConfigurationAnsatz	P2	reference	placeholder			1	/mirror/api/ansatz/classes/MultiConfigurationAnsatz/
109	api/ansatz/classes/MultiConfigurationState	MultiConfigurationState	MultiConfigurationState	https://docs.quantinuum.com/inquanto/api/inquanto/ansatz.html#inquanto.ansatz.MultiConfigurationState	P2	reference	placeholder			1	/mirror/api/ansatz/classes/MultiConfigurationState/
110	api/ansatz/classes/MultiConfigurationStateBox	MultiConfigurationStateBox	MultiConfigurationStateBox	https://docs.quantinuum.com/inquanto/api/inquanto/ansatz.html#inquanto.ansatz.MultiConfigurationStateBox	P2	reference	placeholder			1	/mirror/api/ansatz/classes/MultiConfigurationStateBox/
